         ;1                   ;2                   ;3                   ;4                   ;5                   ;6                   ;7                   ;8                   ;9                    ;10                    ;11                   ;12                   ;target
ndvi_1   ;0.8457450550975607  ;0.5644770491262224  ;0.20204798606036656 ;0.13561578717981726 ;0.16533501414759352 ;0.25296039231397077 ;0.2890345727317976  ;0.269352492203559   ;0.19259582740287     ; 0.1301369857338666   ; 0.2509962072258756  ; 0.2509962072258756  ;     1
ndvi_2   ;0.8533555799396855  ;0.278147176003227   ;0.08557760226694426 ;0.20177228312867984 ;0.3402837085126766  ;0.4259419055846675  ;0.4458722361243905  ;0.39167116551782066 ;0.27038911493813883  ; 0.166418810004149    ; 0.25071762546277926 ; 0.25071762546277926 ;     1
ndvi_3   ;0.8320200499239461  ;0.38995267612808177 ;0.14919230880591897 ;0.2004138788032057  ;0.3090370761920622  ;0.33103816767370764 ;0.34308563379007007 ;0.3313675519438101  ;0.2407666778527656   ; 0.13467204977919767  ; 0.23836789037010742 ; 0.23836789037010742 ;     1
ndvi_4   ;0.8599856990016477  ;0.7337091337209786  ;0.07858941369107691 ;0.21680481995156548 ;0.36097179283304315 ;0.4789653104528121  ;0.5538304063063612  ;0.5351264013729953  ;0.40456906471428955  ; 0.26172943926727243  ; 0.34140711055781364 ; 0.34140711055781364 ;     1
ndvi_5   ;0.8542286009041958  ;0.6394487586947382  ;0.05295705544688363 ;0.2776778995248739  ;0.39298830542067564 ;0.5526645643063365  ;0.5180218194744206  ;0.3466199757085728  ;0.1851463077586645   ; 0.13033717936044345  ; 0.17337438210963488 ; 0.17337438210963488 ;     1
ndvi_6   ;0.8298863044297833  ;0.8164178173342187  ;0.27330113171811526 ;0.15551688673289482 ;0.11403803295137946 ;0.18265645573644912 ;0.24813862174071769 ;0.23025540311208464 ;0.17449654013439755  ; 0.11016541925699339  ; 0.17815242361183492 ; 0.17815242361183492 ;     1
ndvi_7   ;0.8144945897121821  ;0.8504161840673898  ;0.6891563574793782  ;0.20508994407074163 ;0.08896387766196849 ;0.0763443040922184  ;0.12095979526755365 ;0.1408554686997473  ;0.11969846969012897  ; 0.08800513786593697  ; 0.19877787131709523 ; 0.19877787131709523 ;     1
ndvi_8   ;0.8655182384637756  ;0.7961589210117579  ;0.13275494080414396 ;0.15644918691179543 ;0.33031636550046367 ;0.42341689982258346 ;0.481956687594436   ;0.38804241790193594 ;0.20886313487152774  ; 0.11952989782627574  ; 0.3880710263869973  ; 0.3880710263869973  ;     1
ndvi_9   ;0.8337179708341778  ;0.8551053206218837  ;0.6380748173284025  ;0.1265826058922537  ;0.0773613113655199  ;0.07958243218807612 ;0.09638186869890968 ;0.09810151202505858 ;0.08109783920890544  ; 0.058907707059294365 ; 0.1089176008315138  ; 0.1089176008315138  ;     1
ndvi_10  ;0.8267048620813837  ;0.8532310684553358  ;0.5984300107993966  ;0.11101354745841786 ;0.06892968462590177 ;0.07454988496125314 ;0.09280759657014151 ;0.09273072893864846 ;0.07635460580951657  ; 0.05325836450402453  ; 0.08456333739776363 ; 0.08456333739776363 ;     1
ndvi_11  ;0.8254242048061337  ;0.8647796743498313  ;0.6177105977331818  ;0.12486557296673684 ;0.07361585937947011 ;0.0846581749041666  ;0.10554953820233821 ;0.10249167603253591 ;0.08223169131729494  ; 0.05518381293704382  ; 0.08370396810927662 ; 0.08370396810927662 ;     1
ndvi_12  ;0.8292298950726691  ;0.8607185315240885  ;0.6223791439990267  ;0.09738690195052926 ;0.06886612872227296 ;0.08641419441450168 ;0.11345764670699002 ;0.11523828706783823 ;0.09345784139213276  ; 0.06275931132926255  ; 0.09728740928905329 ; 0.09728740928905329 ;     1
ndvi_13  ;0.8239731370573138  ;0.8655074935862777  ;0.6263597130578705  ;0.11629837587937616 ;0.0678627071549593  ;0.06243514600546338 ;0.07755139519633863 ;0.07911452876807468 ;0.06674432768703512  ; 0.04534221309958381  ; 0.08434692611008261 ; 0.08434692611008261 ;     1
ndvi_14  ;0.8172899247695555  ;0.8558418971423809  ;0.693237338412197   ;0.13157436797313019 ;0.07017977006935137 ;0.07621606611236864 ;0.1002974739259227  ;0.10597998426047017 ;0.09028831467977219  ; 0.06338930804783645  ; 0.09830042633556062 ; 0.09830042633556062 ;     1
ndvi_15  ;0.8276367477886891  ;0.8515106996716559  ;0.6873691541433681  ;0.1413251946968957  ;0.07183100658917564 ;0.06016244927650856 ;0.07451213489961331 ;0.07882215753974042 ;0.06909133364295605  ; 0.047816687822953036 ; 0.09553278250650661 ; 0.09553278250650661 ;     1
ndvi_16  ;0.5484014022394521  ;0.5484014022394521  ;0.21705626856082064 ;0.13340830453479005 ;0.18649216964714907 ;0.2595401385586908  ;0.3248146194144515  ;0.3703422551146507  ;0.35006336308289154  ; 0.25201787572120804  ; 0.36612019531076917 ; 0.36612019531076917 ;     1
ndvi_17  ;0.7030867028607484  ;0.7030867028607484  ;0.18183195006028527 ;0.1113473289160882  ;0.19621917197006267 ;0.30969901961424845 ;0.3833759639643502  ;0.4160975956453083  ;0.36567814119642417  ; 0.22779628771157312  ; 0.36044090387008626 ; 0.36044090387008626 ;     1
ndvi_18  ;0.7528480246385647  ;0.7528480246385647  ;0.21921009110644304 ;0.13240533507905222 ;0.1789872093860143  ;0.2435297000250955  ;0.3101436223326058  ;0.3502815801533308  ;0.33048976535769925  ; 0.22236435732916968  ; 0.33969279925832685 ; 0.33969279925832685 ;     1
